name;Location;Employee ID;Tax Class;AT Level;Status;Days Worked;Phone Number;Birthday;Password
Magret Rogner;Stuttgart;14038626;3;AT2;ACTIVE;null;0171166363;1999-12-21;s05g1PyG0e
Ivonne Vogt;Frankfurt;15382337;4;AT1;ACTIVE;null;0151769510;1986-07-05;1Cd7QPDfBy
Klaus-Werner Pärtzelt;Düsseldorf;97265997;3;AT1;ACTIVE;null;0163916102;1971-09-13;FjleECpSQe
Malgorzata Zorbach;Dresden;16228888;3;AT1;ACTIVE;null;0164048361;1999-05-27;foZYeWRXUM
Diane Fritsch;Dortmund;97722782;3;AT1;ACTIVE;null;0179350694;1965-05-24;2yWJXcGJz2
Svenja Wähner;Hamburg;36403575;1;AT2;ACTIVE;null;0156151728;1976-02-24;11mKNdeik1
Ronald Cichorius;Dresden;55999298;4;AT3;ACTIVE;null;0167763476;1990-05-12;vnYklQOeGz
Gereon Süßebier;Berlin;10538864;3;AT1;ACTIVE;null;0161020676;1970-10-31;0hlSvd8Lpr
Sahin Loos;Dortmund;10772611;4;AT1;ACTIVE;null;0160627491;1981-04-16;v0cdHNC7fY
Necati Killer;Essen;94681004;3;AT1;ACTIVE;null;0153672108;1973-11-13;aWAiv0rEA8
Tania Anders;Hamburg;40976524;4;AT1;ACTIVE;null;0159556388;1981-11-02;k71eJTHk7x
Katja Mentzel;Essen;45584844;1;AT1;ACTIVE;null;0177276776;1998-03-09;8VES81q18O
Rita Sontag;Düsseldorf;93755298;4;AT2;ACTIVE;null;0176320549;1969-10-19;0YKRA64DFo
Gundi Scholtz;Dresden;93388997;1;AT2;ACTIVE;null;0153278944;1976-10-01;RIwy8G1THL
Friedo Henck;Berlin;81930907;3;AT1;ACTIVE;null;0168955249;1968-04-21;2SH7NViGM7
Lorenzo Rogner;Munich;17189264;1;AT2;ACTIVE;null;0176871002;1999-08-18;y2LbtRnBQv
Konstanze Ritter;Berlin;17687358;4;AT1;ACTIVE;null;0179548334;1983-03-20;peADzkfVok
Bela Rosemann;Leipzig;42489348;4;AT1;ACTIVE;null;0160635987;1980-09-06;8hqyJlXkxL
Guido Pieper;Munich;58557946;1;AT1;ACTIVE;null;0177195664;1960-06-25;DoSUj0aP3C
Richard Ladeck;Leipzig;46467828;4;AT1;ACTIVE;null;0164200286;1991-04-18;SOUk4s8mgn
Immo Jäkel;Berlin;65120490;3;AT1;ACTIVE;null;0161452250;1986-01-23;F0iQMnZsWR
Adele Speer;Dresden;69080512;1;AT1;ACTIVE;null;0152172775;1994-02-12;6g5VwqoIYQ
Svetlana Martin;Dortmund;83613031;3;AT1;ACTIVE;null;0169553065;1994-04-22;jyMtOAny9a
Anastasia Grein Groth;Munich;31547512;4;AT1;ACTIVE;null;0151774078;1982-04-20;ixB1D4nvHP
Anne Ullmann;Leipzig;35252950;3;AT1;ACTIVE;null;0160912811;1975-12-08;rvSMq4C8tZ
Agnieszka Junken;Munich;73705540;3;AT3;ACTIVE;null;0168395821;1987-09-25;FOWgPeTaDS
Luis Kobelt;Dortmund;93432175;1;AT1;ACTIVE;null;0156896010;1984-09-18;0LYNL1eS7s
Andrzej Johann;Düsseldorf;95984194;3;AT2;ACTIVE;null;0153112821;1987-12-30;DMKTuYc58O
Adeline Putz;Dresden;10945432;4;AT2;ACTIVE;null;0175091999;1995-06-23;RqrSprWDOe
Alan Kaul;Leipzig;97075358;1;AT2;ACTIVE;null;0164872696;1992-12-18;Ma7yyBIjSJ
Christel Mangold;Dresden;74641766;3;AT1;ACTIVE;null;0164242388;1986-10-16;qVDDB2xXd3
Simona Weiß;Frankfurt;78750328;4;AT1;ACTIVE;null;0150249955;1974-06-05;uQrjrxwfQ3
Marlen Putz;Dortmund;42124783;3;AT2;ACTIVE;null;0179574535;1989-02-03;0OiMqx6pQk
Franz Josef Hartmann;Essen;79303775;3;AT2;ACTIVE;null;0161478068;1989-10-03;HaArHEGVZq
Isidor Fiebig;Munich;38607667;4;AT2;ACTIVE;null;0156769707;1989-11-15;IPbuYjQ52R
Karlheinz Ring;Leipzig;41612680;1;AT1;ACTIVE;6;0155578974;1972-06-09;tyhGvXOQlz
Sebastian Gieß;Frankfurt;94373253;1;AT1;ACTIVE;null;0165266159;1991-10-25;g4KVuJf05b
Doreen Kreusel;Leipzig;83155979;4;AT2;ACTIVE;null;0170795917;1975-05-23;NAQYMOhRQr
Hellmuth Rust;Stuttgart;37939914;4;AT1;ACTIVE;null;0161098386;1968-10-12;AqRuiqO0vd
Ottokar Bohlander;Düsseldorf;28412964;1;AT1;ACTIVE;null;0158325729;1986-11-09;iwzpS0Bx9l
Cosimo Pieper;Dortmund;14305507;3;AT1;ACTIVE;1;0167998679;1977-09-29;QISC5RECHW
Günter Mies;Dresden;30413844;3;AT1;ACTIVE;null;0172162115;1964-04-27;D92EysBs4g
Adriana Losekann;Dresden;10951139;3;AT2;ACTIVE;null;0175548455;1970-01-31;6vV7E0Jrlk
Marleen Ernst;Hamburg;66676763;4;AT2;ACTIVE;null;0159916899;1966-04-26;PNG12O2wtU
Attila Koch;Berlin;19905773;4;AT1;ACTIVE;null;0174343157;1984-12-04;C3Oq27fmGE
Kunigunda Klotz;Berlin;71171653;1;AT1;ACTIVE;null;0158025809;1975-06-09;5sVadRFKS0
Jaqueline Hartung;Essen;15065082;3;AT1;ACTIVE;null;0160130951;1999-03-20;kwP55nmfoa
Liliane Winkler;Hamburg;52296072;3;AT1;ACTIVE;null;0151858996;1974-08-03;NxftNiqBWC
Michaela Heidrich;Hamburg;10588682;1;AT1;ACTIVE;null;0173740187;1961-08-16;0IFOIpgpAt
Mariele Rust;Munich;19017663;3;AT1;ACTIVE;null;0169040676;1967-11-14;qwH2RKvgkW
Agnes Henschel;Munich;55705429;4;AT1;ACTIVE;null;0166381306;1967-11-26;9XdTSJ3CA3
Milos Schacht;Düsseldorf;40287329;4;AT1;ACTIVE;null;0159793170;1964-03-17;WAcpkPanCq
Heide Beier;Munich;66741163;3;AT1;ACTIVE;null;0155599839;1987-05-19;CZnrwXNCEX
Reiner Kobelt;Berlin;56168761;1;AT1;ACTIVE;null;0151682255;1987-03-05;CIgCiQ7eqe
Marieluise Zahn;Essen;20137660;1;AT1;ACTIVE;null;0178246773;1961-10-16;DmLBUdy0m5
Traudel Bloch;Frankfurt;59243858;3;AT1;ACTIVE;null;0160614445;1979-03-31;3eT8u2XLM8
Sigfried Walter;Essen;52437294;3;AT2;ACTIVE;null;0171840028;1992-04-04;dHqGXfukqE
Jaroslav Preiß;Dortmund;71768991;3;AT1;ACTIVE;null;0165523951;1987-09-08;u0GGOHXKNB
Eduard Heinz;Munich;30129312;4;AT1;ACTIVE;17;0159268170;1996-10-21;xGO1E1BwNP
Gesa Rohleder;Leipzig;41576962;3;AT2;ACTIVE;null;0164299077;1965-09-08;CgouAgKiRD
Heinrich Wilmsen;Hamburg;76368974;1;AT1;ACTIVE;null;0165228026;1999-07-16;ZlIwkotc2B
Roman Scholz;Stuttgart;67022487;3;AT1;ACTIVE;null;0171405178;1968-10-09;VqbsGNJFlp
Sandy Bohnbach;Dresden;91396161;1;AT2;ACTIVE;null;0173966571;1986-09-05;a7rEc52Hah
Annelies Zobel;Frankfurt;18744632;1;AT1;ACTIVE;null;0165163737;1962-10-07;9mltzEQcgY
Samira Wiek;Frankfurt;55666214;4;AT1;ACTIVE;null;0178343364;1977-01-20;iDKbQynAhc
Siegmar Fritsch;Berlin;99315074;1;AT1;ACTIVE;null;0176884560;1979-09-27;xZ9Q1nvQgx
Belinda Wesack;Munich;29417873;4;AT3;ACTIVE;null;0163323112;1985-12-04;RAsqkOGx5X
Heinz-Otto Dörschner;Essen;14457014;4;AT1;ACTIVE;null;0161642998;1971-04-17;xNfLDDRj2G
Christl Ernst;Stuttgart;98660836;3;AT2;ACTIVE;null;0176343653;1966-01-25;8Hr2UXVhjy
Heinz-Walter Johann;Dresden;35376178;1;AT1;ACTIVE;null;0174094469;1986-12-05;LvWK61CWY0
Juergen Trub;Berlin;88492285;4;AT2;ACTIVE;null;0177438074;1974-09-19;gXbXezdoLA
Yvonne Gumprich;Dresden;34029030;4;AT1;ACTIVE;null;0178242734;1991-02-03;UNpdsGKWFr
Asta Jüttner;Düsseldorf;91145041;3;AT2;ACTIVE;null;0167572130;1968-12-08;ROvBB5N8V0
Heinz-Willi Striebitz;Leipzig;46031683;3;AT1;ACTIVE;null;0162513305;1966-01-04;GApyt4IZ1w
Ehrenfried Wilmsen;Frankfurt;66222285;1;AT3;ACTIVE;null;0172540346;1983-04-06;wuncjnmEch
Max Pechel;Leipzig;95847026;1;AT3;ACTIVE;null;0161198766;1983-06-25;4ciPChO6Iq
Joseph Stahr;;Leipzig;17792663;1;AT1;ACTIVE;null;0169580280;1996-12-26;c9uiCWMk58
Karl-Hermann Ullmann;Essen;84760472;1;AT1;ACTIVE;null;0164051520;1965-08-06;8OAo4YjYta
Antonino Patberg;Berlin;66030165;4;AT1;ACTIVE;null;0174833822;1989-10-01;Itv6zXahol
Rolf Weimer;Essen;39827190;1;AT2;ACTIVE;null;0152405363;1982-07-28;rTsIJKIpmS
Geert Drewes;Munich;86435123;1;AT2;ACTIVE;null;0169378110;1978-08-01;mvneQ93aVJ
Gesine Krein;Dortmund;18396971;1;AT1;ACTIVE;null;0179178251;1966-05-24;EocOLBEdCt
Jane Beckmann;Essen;79449210;3;AT1;ACTIVE;null;0176445801;1994-12-22;kTf1M0oRhB
Manja Schinke;Düsseldorf;43437616;1;AT1;ACTIVE;null;0156780266;1984-10-09;OS1WW81SDD
Hartwig Wagenknecht;Stuttgart;27155636;3;AT1;ACTIVE;null;0151154040;1969-06-04;c6kK3tp9Zl
Lore Finke;Essen;35310166;4;AT1;ACTIVE;null;0160742551;1968-02-13;xmM9QGDC41
Wilfriede Graf;Düsseldorf;16128552;3;AT2;ACTIVE;null;0158777077;1964-02-08;kQi0XdLhwd
Marika Rörricht;Munich;63637529;4;AT1;ACTIVE;null;0157146846;1981-08-05;e8jdyTe0cU
Gernot Weinhage;Frankfurt;79313286;3;AT1;ACTIVE;null;0167912313;1985-03-31;fVIqRe2sPz
Karl-Werner Wiek;Düsseldorf;49283088;3;AT1;ACTIVE;null;0157346581;1964-01-10;nYFiZP9NSI
Lisa Winkler;Berlin;21720956;4;AT2;ACTIVE;null;0173021368;1993-02-27;IxpqVjLA0U
Erhardt Hellwig;Stuttgart;80920648;3;AT2;ACTIVE;14;0157281353;1969-02-16;Z0BG6gVHfy
Laszlo Stolze;Essen;92469540;1;AT1;ACTIVE;14;0175040784;1988-08-31;hdeRMc25rr
Heinrich Gieß;Frankfurt;81319153;3;AT1;ACTIVE;null;0156959555;1965-03-15;rvRynujvob
Wieslaw Lübs;Frankfurt;81800553;4;AT1;ACTIVE;null;0178381674;1995-05-20;GWILgmVhmP
Rosel Beier;Leipzig;81849540;3;AT1;ACTIVE;null;0167729167;1962-08-31;mrEyrxtuJ1
Isabel Seidel;Hamburg;98775174;1;AT1;ACTIVE;null;0174590478;1969-01-24;xjgiQXy7BF
Saban Löchel;Dresden;17876537;1;AT1;ACTIVE;null;0166251371;1981-05-24;oexwMC9ykh
Christian Seifert;Frankfurt;43412587;1;AT3;ACTIVE;null;0175170680;1983-10-06;xH4qogLESA
Eleonora Barkholz;Dortmund;38924722;3;AT3;ACTIVE;null;0172062558;1971-04-13;KxpncVcENz
Reinald Rust;Dresden;30846505;1;AT1;ACTIVE;null;0174189175;1989-09-13;izXT1e1Ll8
Leila Scholz;Frankfurt;69704950;1;AT3;ACTIVE;null;0153574172;1991-01-12;3eMxt158ft
Wulf Reinhardt;Hamburg;99905542;3;AT1;ACTIVE;null;0162122601;1994-02-28;Vdz0FNsG7p
Dino Baum;Berlin;26309810;1;AT2;ACTIVE;null;0153380232;1986-10-15;Hfx6vzCG6z
Wolf Cichorius;Dortmund;99992473;4;AT2;ACTIVE;null;0159344634;1995-02-09;ckAKjZVafw
Edmund Seip;Stuttgart;13569575;3;AT1;ACTIVE;null;0176627583;1988-08-30;I0RpzEkh6J
Annett Trupp;Düsseldorf;24917690;1;AT1;ACTIVE;null;0161751633;1985-06-26;FrjPuHcoyb
Waldemar Juncken;Dortmund;46382701;1;AT2;ACTIVE;null;0150160335;1961-07-14;iBNidGjLL3
Hannchen Hörle;Stuttgart;53032470;3;AT2;ACTIVE;null;0161485376;1968-01-26;w3tgj6AQHF
Wilhelm Berger;Leipzig;94650652;1;AT1;ACTIVE;null;0178874391;1995-03-06;Z0AxifYamU
Hermann Bauer;Munich;60472517;4;AT1;ACTIVE;null;0164977352;1965-12-12;P0mJlsMsJ8
Heribert Zirme;Stuttgart;26044835;4;AT3;ACTIVE;null;0172392617;1984-08-16;llQiuZ2NpF
Miguel Jessel;Frankfurt;68813283;4;AT2;ACTIVE;null;0169725125;1968-09-06;QNR0HaL8eS
Marlen Scholz;Dresden;38401833;4;AT3;ACTIVE;null;0166157564;1974-06-21;4jsXrcmDf5
Britta Jessel;Frankfurt;26969248;3;AT2;ACTIVE;null;0162884616;1994-01-13;CiXQMYVFNN
Aline Langern;Leipzig;11726974;1;AT1;ACTIVE;null;0154173762;1980-10-31;0XKNIuqALs
Kordula Süßebier;Dresden;37398297;3;AT1;ACTIVE;null;0173816773;1982-08-25;BQSMHuxGDj
Alexei Drewes;Essen;36072276;1;AT2;ACTIVE;null;0178959520;1999-02-16;HSj8ShXYOS
Berend Kruschwitz;Dortmund;53515939;1;AT1;ACTIVE;null;0151094767;1970-09-06;MYQ4rPOHdY
Lutz Pruschke;Berlin;67430574;1;AT1;ACTIVE;null;0164468874;1981-09-11;6icD7d6dEQ
Bernd-Dieter Stadelmann;Berlin;33569023;3;AT2;ACTIVE;null;0158147855;1993-09-10;FsgCyeYyhZ
Ilona Vollbrecht;Munich;69075891;3;AT1;ACTIVE;null;0165900222;1979-10-03;e17BEWUSxY
Freia Ullrich;Frankfurt;51699693;1;AT1;ACTIVE;null;0177444793;1974-05-30;BVNYklBSyV
Daniel Gude;Düsseldorf;12005054;3;AT1;ACTIVE;null;0172626019;1964-02-05;GZJXPk02eE
Sigismund Paffrath;Munich;41974227;4;AT1;ACTIVE;null;0151755569;1996-12-23;SuapItzhrl
Susi Reuter;Leipzig;58298040;4;AT1;ACTIVE;null;0168639808;1972-04-26;VB9V4tvKxs
Marianne Jäkel;Hamburg;97873944;1;AT3;ACTIVE;null;0151811939;1986-09-12;ptNfrODsrL
Doreen Caspar;Stuttgart;92428934;4;AT1;ACTIVE;null;0162441750;1961-04-19;CJeIU2bEOw
Gisa Jähn;Dresden;82543286;1;AT1;ACTIVE;null;0155481215;1998-04-12;JMxsydygte
Vanessa Thies;Dortmund;49983631;1;AT1;ACTIVE;null;0169202846;1980-06-19;Tgremivmgb
Wolf-Dieter Ritter;Hamburg;53759564;1;AT2;ACTIVE;null;0165491084;1977-11-03;DZrYhgZarh
Michael Jessel;Dortmund;92970605;1;AT1;ACTIVE;null;0172737310;1984-12-16;JiUTxvkus4
Gerlind Zänker;Munich;16072102;1;AT3;ACTIVE;null;0154400954;1993-09-26;f8FUHqnQuj
Natali Martin;Leipzig;37380343;4;AT3;ACTIVE;null;0168341864;1978-01-30;heM1tC28a4
Gertraude Lange;Stuttgart;82503668;3;AT1;ACTIVE;null;0163504709;1992-03-06;6pnIyjTB5T
Irmtraut Keudel;Stuttgart;12700131;4;AT1;ACTIVE;null;0154422313;1966-02-13;EhGOcZujVM
Marlis Jungfer;Berlin;44122575;4;AT1;ACTIVE;null;0157413052;1999-03-04;3Ci33ffe7L
Erica Täsche;Düsseldorf;49669895;1;AT1;ACTIVE;null;0162145250;1966-10-03;yjbF2dgmpR
Mathilde Steinberg;Munich;67172531;4;AT1;ACTIVE;null;0171677029;1976-09-25;Bpzy6Zyf71
Andrey Wagenknecht;Dortmund;26603030;3;AT1;ACTIVE;null;0153893993;1970-10-12;ggG3GQqsyp
Hugo Heintze;Dortmund;42251227;1;AT1;ACTIVE;null;0165520359;1982-11-10;zbFDH7rXv3
Uschi Höfig;Stuttgart;28570075;3;AT3;ACTIVE;null;0162662147;1989-11-30;Jj3xMA6Rt1
Alex Beer;Hamburg;20656517;1;AT1;ACTIVE;8;0163372885;1997-09-20;X5XwNVj0jC
Sigmund Thies;Leipzig;57748260;1;AT1;ACTIVE;14;0163031005;1964-09-20;sHqcva5Nsf
Amanda Koch II;Hamburg;43695676;3;AT1;ACTIVE;null;0173993086;1963-01-31;4faVf2ub10
Pascal Köhler;Dresden;73552306;1;AT1;ACTIVE;null;0151315669;1989-11-02;jAjd3DZQRj
Holm Rosenow;Frankfurt;35183397;1;AT1;ACTIVE;null;0160761959;1967-10-07;usxH3Ep7hE
Reingard Stroh;Leipzig;15109322;1;AT2;ACTIVE;null;0171319130;1993-05-16;jtA1O905c1
Karl-Heinz Neureuther;Dresden;18154608;1;AT1;ACTIVE;null;0154692762;1963-04-22;P2mVoA25I9
Grete Hendriks;Stuttgart;91555764;4;AT1;ACTIVE;null;0155284834;1992-11-19;zwlFa1pzaR
Radmila Noack;Essen;22045724;4;AT3;ACTIVE;null;0154934447;1971-08-12;eBu1qmwyo2
Kornelia Bonbach;Berlin;72156515;4;AT1;ACTIVE;null;0177571196;1964-06-24;4Q9jIm9jEM
Danuta Putz;Munich;24962230;3;AT2;ACTIVE;null;0150387737;1988-10-15;hpFMwPsi0n
Mehdi Hecker;Munich;26169259;1;AT1;ACTIVE;null;0177192271;1981-11-13;AXEXCGojAy
Thekla Beckmann;Stuttgart;57439503;3;AT1;ACTIVE;null;0160707590;1997-01-07;RrwTGiaVGj
Lisbeth Ziegert;Berlin;51831943;4;AT2;ACTIVE;null;0167965451;1982-02-13;iY2A8p7qtL
Magret Kramer;Munich;65882437;1;AT1;ACTIVE;null;0162846965;1992-05-16;ykKEF9572U
Christin Dörr;Berlin;83080584;3;AT1;ACTIVE;null;0166753396;1996-04-15;CEbOGBZOXY
Heinz Christoph;Düsseldorf;89806958;4;AT1;ACTIVE;null;0152431754;1961-09-25;DmoBIs6Jk3
Egbert auch Schlauchin;Dortmund;63718141;4;AT2;ACTIVE;null;0162635628;1966-08-10;tfC4FqdOKp
Eleonore Faust;Stuttgart;56208616;4;AT1;ACTIVE;null;0155343398;1992-10-05;22j3WYqBXn
Erna Eberth;Düsseldorf;66078013;4;AT2;ACTIVE;null;0154563918;1979-04-16;xYtxLrgiP5
Gunhild Steckel;Frankfurt;21900233;4;AT1;ACTIVE;null;0179544983;1969-10-02;FKNrWQz25D
Julius Rose;Frankfurt;56077617;3;AT1;ACTIVE;null;0171581428;1986-01-09;ElhX47MWHI
Ron Weihmann;Berlin;61776080;3;AT1;ACTIVE;null;0158801015;1963-10-06;GL1UWxKtqh
Walburga Hornich;Stuttgart;52350133;4;AT1;ACTIVE;null;0177721360;1964-01-07;hTW4OgSQ0C
Anatolij Steinberg;Stuttgart;32182641;3;AT1;ACTIVE;null;0170721780;1987-06-02;BM0mzLJueK
Olga Jacob;Stuttgart;57484984;1;AT1;ACTIVE;null;0176689923;1978-02-16;4cpAOcizgF
Hildegart Baum;Dresden;25038497;3;AT2;ACTIVE;null;0159534382;1997-07-13;q2LHtQJDnp
Adelbert Matthäi;Hamburg;59635461;3;AT3;ACTIVE;null;0172248887;1962-02-19;1Iz05ajvl5
Veit Binner;Stuttgart;56485976;4;AT2;ACTIVE;null;0161510358;1984-07-13;3m7RAvkjC1
Friedhilde Kühnert;Dortmund;86136445;1;AT1;ACTIVE;null;0170877976;1966-10-03;88Om7gLfHT
Verena Jacobi Jäckel;Frankfurt;36802340;3;AT1;ACTIVE;null;0165381284;1988-10-28;LSyqNRtcfp
Bernhard Naser;Stuttgart;37741017;4;AT1;ACTIVE;null;0169387442;1968-12-27;N5tIztVeoj
Antonietta Thies;Dortmund;36485489;1;AT2;ACTIVE;null;0169177001;1982-04-04;wHPP063agx
Dietmar Eberhardt;Hamburg;91953272;3;AT1;ACTIVE;null;0173749255;1980-02-27;ET4RURsN57
Gerhard Speer;Stuttgart;58378818;3;AT1;ACTIVE;null;0166074973;1984-04-06;kaa3dPzGaU
Helmut Beier;Frankfurt;56941772;1;AT1;ACTIVE;null;0167265353;1968-01-09;yaSPGJi2jj
Kunigunde Mohaupt;Düsseldorf;40166571;4;AT1;ACTIVE;null;0175740075;1987-01-08;PO9Alza632
Wulf Winkler;Dresden;33977439;4;AT1;ACTIVE;null;0167854175;1974-02-28;sps83piviV
Georgia Hornich;Frankfurt;20671454;4;AT1;ACTIVE;null;0166596115;1993-02-03;luPz6meeZu
Hermine Lindau;Dortmund;31019509;4;AT1;ACTIVE;null;0156205661;1962-09-01;6d2OUJK1wG
Hans-Gerhard Karz;Munich;33825682;3;AT1;ACTIVE;null;0168027416;1963-03-05;pjCy2sZtpH
Constanze Huhn;Essen;97641922;1;AT1;ACTIVE;null;0179862805;1981-03-02;gu0pruU1DU
Ilkay Gündogan;Hamburg;29310577;4;AT2;ACTIVE;null;0164095252;1974-02-02;ZV5oTi6LJP
Heinz-Otto Siering;Berlin;32871978;1;AT2;ACTIVE;null;0170369555;1991-02-26;t4CA68U42w
Franz Zorbach;Dresden;19271625;3;AT1;ACTIVE;null;0164496960;1970-09-07;IaCmwTwcM8
Alma Gröttner;Leipzig;65298212;4;AT1;ACTIVE;null;0165997165;1962-04-05;LDy7Bf1DhP
Lutz Löffler;Düsseldorf;27220013;4;AT1;ACTIVE;null;0172620638;1970-01-28;4brITywgIc
Hubertus Austermühle;Stuttgart;51679403;1;AT1;ACTIVE;null;0168963099;1979-10-12;96KLqYbdwK
Priska Schleich;Düsseldorf;31164654;3;AT1;ACTIVE;null;0154624167;1965-08-30;Tpt9Vxfht0
Rahel Holsten;Berlin;90807538;3;AT2;ACTIVE;15;0165046876;1994-06-19;ZzNt7HLvaX
Hasso Hofmann;Dresden;74928585;3;AT1;ACTIVE;null;0175873655;1968-08-28;4657sQ7kxO
Dierk Scheibe;Stuttgart;39654314;3;AT2;ACTIVE;null;0178270802;1986-03-08;cDsuTJaBfN
Susana Mohaupt;Frankfurt;47760680;1;AT2;ACTIVE;null;0153483422;1989-10-08;GGJYIe5u32
Edmund Jacob;Dortmund;71930678;1;AT1;ACTIVE;null;0153087216;1965-02-28;wMrpYS3caA
Sandra Käster;Munich;64184445;4;AT1;ACTIVE;null;0150014644;1986-01-04;2CLvAIBKnE
Dorothea Löffler;Munich;20477737;3;AT1;ACTIVE;null;0173935331;1982-06-18;tAz6wIaLE3
Henryk Schaaf;Stuttgart;64549580;3;AT1;ACTIVE;null;0160335996;1999-05-24;5JDr9dHUJT
Michelle Röhrdanz;Dortmund;27590866;4;AT3;ACTIVE;null;0152121991;1992-07-07;AiuWYTUh9H
Dierk Junk;Leipzig;88741799;1;AT1;ACTIVE;null;0165306307;1971-04-03;uDSmLUogcI
Remo Kuhl;Stuttgart;76220388;3;AT1;ACTIVE;null;0178197544;1970-05-15;MBt1v4p8cf
Gabor Börner;Dresden;54714647;3;AT1;ACTIVE;null;0168101316;1987-08-04;Mbu08Vr4Dv
Alban Otto;Stuttgart;96543642;3;AT1;ACTIVE;null;0155121026;1998-04-06;8xa4GLmwFR
Centa Mans;Düsseldorf;62461189;1;AT1;ACTIVE;null;0155721733;1997-12-02;MFIAh1qCxt
Gordana Textor;Stuttgart;46341437;3;AT1;ACTIVE;null;0178115464;1996-12-19;wZ3z941COk
Joshua Kimmich;Dortmund;83439294;4;AT2;ACTIVE;null;0164184538;1989-10-07;zI3XiSAUhA
Wolf-Dietrich Schmiedecke;Stuttgart;41896394;4;AT1;ACTIVE;15;0169043011;1963-04-17;k4flYn62dB
Benjamin Köhler;Munich;11220864;4;AT1;ACTIVE;null;0175141854;1992-10-24;F3TwzOmiqy
Justine Sorgatz;Frankfurt;47242762;3;AT2;ACTIVE;null;0165099916;1991-08-30;Ud2XYsLxBk
Simone Säuberlich;Berlin;97238201;4;AT1;ACTIVE;null;0170447325;1989-01-07;fEEElgtl3X
André Scholz;Essen;79359425;4;AT1;ACTIVE;null;0167601959;1989-08-26;cuE9sZP9Y3
Ruthild Koch;Dortmund;94989141;1;AT3;ACTIVE;null;0167741552;1967-10-31;WwCA2PPbvB
Pietro Ruppert;Berlin;99447548;1;AT1;ACTIVE;null;0161028470;1997-10-04;JJMHxmRcg8
Emmi Gotthard;Stuttgart;94292673;4;AT2;ACTIVE;null;0169275063;1982-10-11;KBako5bknC
Urszula Möchlichen;Hamburg;38065636;4;AT1;ACTIVE;3;0151990136;1986-09-14;QuxLjtUORN
Gotthard Seifert;Essen;18582791;1;AT1;ACTIVE;null;0167033499;1966-04-25;aD0CFS5ius
Hanna Kranz;Dresden;47608802;3;AT2;ACTIVE;null;0158907421;1971-10-13;aiYkILp1X2
Antje Hörle;Dortmund;34802009;3;AT1;ACTIVE;null;0176478463;1995-04-04;CfhGj3uOy7
Hajo Henck;Düsseldorf;71982184;1;AT2;ACTIVE;null;0150538853;1994-11-12;Gz2FUh4LJK
Hasso Stadelmann;Stuttgart;10439706;1;AT1;ACTIVE;null;0164241643;1992-09-09;IRmeWyroTH
Thaddäus Lindau;Essen;72917101;3;AT2;ACTIVE;null;0177309537;1982-02-18;rbtKe7A9Ty
Gitte Bruder;Hamburg;44732353;4;AT2;ACTIVE;null;0176694218;1963-09-03;OhxLjwR5Fb
Francoise Bolzmann;Munich;73628549;4;AT2;ACTIVE;null;0167066555;1994-12-06;oOoNJ8Dj2q
Ante Wohlgemut;Berlin;29067467;4;AT1;ACTIVE;null;0177718696;1999-07-15;c6LgDdil3Y
Urte auch Schlauchin;Dortmund;11662243;3;AT1;ACTIVE;null;0155773401;1971-12-10;6iRBFvib7a
Hanny Birnbaum;Dresden;89847194;1;AT1;ACTIVE;13;0151299433;1975-10-24;Jp3gsXrMZq
Radmila Hartung;Frankfurt;39835494;3;AT1;ACTIVE;null;0153708761;1991-01-11;zf34mhyDZp
Philomena Schlosser;Munich;56084972;4;AT1;ACTIVE;null;0175610850;1971-11-23;aLynalGc1Y
Hartwig Ullrich;Dortmund;19337893;4;AT1;ACTIVE;null;0163093386;1975-06-05;jR7fJsPxhz
Rupert Käster;Dortmund;34769142;3;AT1;ACTIVE;null;0162863835;1966-11-14;2uDQmHYWcI
Gundel Dörschner;Hamburg;18242777;1;AT1;ACTIVE;null;0163384055;1987-03-19;VyDZf6apUx
Wieland Hentschel;Dortmund;84089238;4;AT1;ACTIVE;null;0170734560;1974-05-18;LlU02tPIeM
Adeline Meyer;Frankfurt;15132546;1;AT1;ACTIVE;null;0168775476;1999-11-12;WIimYzH7Zv
Yusuf Wieloch;Hamburg;12536804;4;AT1;ACTIVE;null;0150236243;1968-05-25;zkJXFpDo3O
Holger Geisel;Düsseldorf;85055400;3;AT2;ACTIVE;9;0166595889;1991-10-04;6HnFStSAZZ
Lars Henk;Berlin;46445973;3;AT1;ACTIVE;null;0176609741;1984-06-21;05DSunCsW3
Matthias Thanel;Dortmund;51014456;1;AT1;ACTIVE;null;0169116151;1993-04-14;9M5f1IxL5q
Mathilde Paffrath;Dresden;27921246;4;AT1;ACTIVE;null;0163783814;1981-02-18;32pistr7uh
Riza Tschentscher;Dortmund;88954874;4;AT2;ACTIVE;null;0164545308;1997-11-16;wBSVu8fw8R
Marie-Luise Grein Groth;Essen;52875304;3;AT1;ACTIVE;null;0178100416;1983-07-22;2S0DYsaJag
Alfons Oestrovsky;Düsseldorf;63337778;3;AT2;ACTIVE;null;0162794417;1985-11-15;yUiTTCRS1D
Irmtraud Peukert;Berlin;93614608;1;AT2;ACTIVE;null;0163754731;1999-02-25;1fzfaxSw7S
Ellinor Weiß;Dortmund;49623218;3;AT1;ACTIVE;null;0176589952;1993-05-21;b9ETYvXpXv
